month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2025-06-01,B DIVISION,S Rock,2,1216,1398,0.86981402
2025-07-01,A DIVISION,1,1,8199,10348,0.79232702
2025-07-01,A DIVISION,1,2,3186,3424,0.930490654
2025-07-01,A DIVISION,2,1,5520,7187,0.76805343
2025-07-01,A DIVISION,2,2,2920,3412,0.855803048
2025-07-01,A DIVISION,3,1,5424,6379,0.850290014
2025-07-01,A DIVISION,3,2,1742,2085,0.835491607
2025-07-01,A DIVISION,4,1,7058,8145,0.866543892
2025-07-01,A DIVISION,4,2,1926,2430,0.792592593
2025-07-01,A DIVISION,5,1,5722,6732,0.849970291
2025-07-01,A DIVISION,5,2,1982,2248,0.881672598
2025-07-01,A DIVISION,6,1,10722,12310,0.870999188
2025-07-01,A DIVISION,6,2,2626,2900,0.905517241
2025-07-01,A DIVISION,7,1,12636,14124,0.894647409
2025-07-01,A DIVISION,7,2,3355,3526,0.95150312
2025-07-01,A DIVISION,S 42nd,1,11380,11386,0.999473037
2025-07-01,A DIVISION,S 42nd,2,3094,3096,0.999354005
2025-07-01,B DIVISION,A,1,6562,8250,0.795393939
2025-07-01,B DIVISION,A,2,2180,2550,0.854901961
2025-07-01,B DIVISION,B,1,3261,4840,0.673760331
2025-07-01,B DIVISION,C,1,3783,4884,0.774570025
2025-07-01,B DIVISION,C,2,1210,1440,0.840277778
2025-07-01,B DIVISION,D,1,4900,6512,0.752457002
2025-07-01,B DIVISION,D,2,1589,1944,0.817386831
2025-07-01,B DIVISION,E,1,6013,8712,0.690197429
2025-07-01,B DIVISION,E,2,1626,1898,0.856691254
2025-07-01,B DIVISION,F,1,5816,8378,0.694199093
2025-07-01,B DIVISION,F,2,1471,1920,0.766145833
2025-07-01,B DIVISION,G,1,5793,6736,0.860005938
2025-07-01,B DIVISION,G,2,2136,2318,0.921484038
2025-07-01,B DIVISION,JZ,1,5972,6533,0.914128272
2025-07-01,B DIVISION,JZ,2,1945,2226,0.8737646
2025-07-01,B DIVISION,L,1,11085,12341,0.898225427
2025-07-01,B DIVISION,L,2,4198,4717,0.88997244
2025-07-01,B DIVISION,M,1,4950,6414,0.771749298
2025-07-01,B DIVISION,M,2,1707,1790,0.953631285
2025-07-01,B DIVISION,N,1,7730,10444,0.740137878
2025-07-01,B DIVISION,N,2,1466,1944,0.754115226
2025-07-01,B DIVISION,Q,1,5370,6930,0.774891775
2025-07-01,B DIVISION,Q,2,2111,2456,0.859527687
2025-07-01,B DIVISION,R,1,4883,6627,0.736834163
2025-07-01,B DIVISION,R,2,1754,1923,0.912116485
2025-07-01,B DIVISION,S Fkln,1,5207,5236,0.994461421
2025-07-01,B DIVISION,S Fkln,2,2139,2142,0.99859944
2025-07-01,B DIVISION,S Rock,1,3430,3696,0.928030303
2025-07-01,B DIVISION,S Rock,2,1282,1422,0.901547117
