,GTFS Stop ID,Complex ID,Stop Name,lines
A38,A38,628,Fulton St,"['A', 'C']"
602,602,361,Buhre Av,"['6X', '6']"
D11,D11,604,161 St-Yankee Stadium,"['D', 'B']"
627,627,398,77 St,"['6X', '6']"
D32,D32,48,Avenue H,['Q']
139,139,329,Rector St,['1']
R08,R08,6,39 Av-Dutch Kills,"['W', 'N']"
D21,D21,619,Broadway-Lafayette St,"['D', 'F', 'M', 'B']"
J12,J12,80,121 St,['J']
134,134,324,Houston St,['1']
F02,F02,255,169 St,['F']
F30,F30,245,18 Av,['F']
501,501,442,Eastchester-Dyre Av,['5']
G31,G31,287,Flushing Av,['G']
B16,B16,615,62 St,['D']
251,251,346,Sutter Av-Rutland Rd,['3']
214,214,427,West Farms Sq-E Tremont Av,"['2', '5']"
624,624,395,103 St,"['6X', '6']"
H10,H10,208,Beach 25 St,['A']
M22,M22,628,Fulton St,['J']
R21,R21,16,8 St-NYU,"['R', 'W']"
L12,L12,123,Grand St,['L']
902,902,611,Times Sq-42 St,['GS']
256,256,351,Van Siclen Av,['3']
701,701,447,Flushing-Main St,"['7X', '7']"
S04,S04,626,Botanic Garden,['FS']
D05,D05,213,Fordham Rd,"['D', 'B']"
236,236,339,Bergen St,"['3', '2']"
M08,M08,630,Myrtle-Wyckoff Avs,['M']
124,124,314,66 St-Lincoln Center,['1']
F24,F24,240,7 Av,"['G', 'F']"
617,617,375,Cypress Av,['6']
A18,A18,156,103 St,"['C', 'B']"
H03,H03,198,Howard Beach-JFK Airport,['A']
244,244,356,Church Av,"['2', '5']"
710,710,616,74 St-Broadway,"['7X', '7']"
J24,J24,91,Alabama Av,['J']
L21,L21,131,Bushwick Av-Aberdeen St,['L']
R32,R32,28,Union St,['R']
631,631,610,Grand Central-42 St,"['4', '5', '6', '6X']"
J16,J16,84,85 St-Forest Pkwy,['J']
B08,B08,223,Lexington Av/63 St,"['F', 'Q']"
R27,R27,635,Whitehall St-South Ferry,"['R', 'W']"
217,217,430,Simpson St,"['2', '5']"
