index,lines,time,stop1,stop2,stop 1 count,stop 2 count
"('F21', 'F22')",G,130.95652173913044,Carroll St,Smith-9 Sts,1,1
"('F22', 'F23')",F,90.0,Smith-9 Sts,4 Av-9 St,1,1
"('F22', 'F23')",G,90.0,Smith-9 Sts,4 Av-9 St,1,1
"('F23', 'F24')",F,120.0,4 Av-9 St,7 Av,1,3
"('F23', 'F24')",G,120.0,4 Av-9 St,7 Av,1,3
"('M22', 'M23')",Z,110.21739130434783,Fulton St,Broad St,5,1
"('M22', 'M23')",J,110.21739130434783,Fulton St,Broad St,5,1
"('F24', 'F25')",F,90.0,7 Av,15 St-Prospect Park,4,1
"('F24', 'F25')",G,90.0,7 Av,15 St-Prospect Park,4,1
"('F25', 'F26')",F,150.0,15 St-Prospect Park,Fort Hamilton Pkwy,1,1
"('F25', 'F26')",G,150.0,15 St-Prospect Park,Fort Hamilton Pkwy,1,1
"('F26', 'F27')",F,120.0,Fort Hamilton Pkwy,Church Av,1,4
"('F26', 'F27')",G,120.0,Fort Hamilton Pkwy,Church Av,1,4
"('R01', 'R03')",N,120.0,Astoria-Ditmars Blvd,Astoria Blvd,1,1
"('R01', 'R03')",W,120.0,Astoria-Ditmars Blvd,Astoria Blvd,1,1
"('G06', 'J12')",Z,240.0,Sutphin Blvd-Archer Av-JFK Airport,121 St,1,1
"('G06', 'J12')",J,240.0,Sutphin Blvd-Archer Av-JFK Airport,121 St,1,1
"('G08', 'G09')",M,120.0,Forest Hills-71 Av,67 Av,2,1
"('G08', 'G09')",R,120.0,Forest Hills-71 Av,67 Av,2,1
"('Q01', 'R20')",N,240.0,Canal St,14 St-Union Sq,5,5
"('Q01', 'R20')",Q,240.0,Canal St,14 St-Union Sq,5,5
"('G09', 'G10')",M,90.0,67 Av,63 Dr-Rego Park,1,1
"('G09', 'G10')",R,90.0,67 Av,63 Dr-Rego Park,1,1
"('G10', 'G11')",M,90.0,63 Dr-Rego Park,Woodhaven Blvd,1,2
"('G10', 'G11')",R,90.0,63 Dr-Rego Park,Woodhaven Blvd,1,2
"('G11', 'G12')",M,120.0,Woodhaven Blvd,Grand Av-Newtown,2,1
"('G11', 'G12')",R,120.0,Woodhaven Blvd,Grand Av-Newtown,2,1
"('G12', 'G13')",M,90.0,Grand Av-Newtown,Elmhurst Av,1,1
"('G12', 'G13')",R,90.0,Grand Av-Newtown,Elmhurst Av,1,1
"('G13', 'G14')",M,120.0,Elmhurst Av,Jackson Hts-Roosevelt Av,1,2
"('G13', 'G14')",R,120.0,Elmhurst Av,Jackson Hts-Roosevelt Av,1,2
"('F24', 'F27')",F,240.0,7 Av,Church Av,4,4
"('F24', 'F27')",G,240.0,7 Av,Church Av,4,4
"('A14', 'A15')",B,110.25,135 St,125 St,2,5
"('A14', 'A15')",C,110.25,135 St,125 St,2,5
"('A15', 'A16')",B,90.0,125 St,116 St,6,3
"('A15', 'A16')",C,90.0,125 St,116 St,6,3
"('A09', 'A12')",A,202.35294117647058,168 St,145 St,1,4
"('A09', 'A12')",C,202.35294117647058,168 St,145 St,1,4
"('229', '230')",3,76.47058823529412,Fulton St,Wall St,5,2
"('229', '230')",2,76.47058823529412,Fulton St,Wall St,5,2
"('230', '231')",3,210.0,Wall St,Clark St,2,1
"('230', '231')",2,210.0,Wall St,Clark St,2,1
"('231', '232')",3,120.0,Clark St,Borough Hall,1,3
"('231', '232')",2,120.0,Clark St,Borough Hall,1,3
"('232', '233')",3,90.0,Borough Hall,Hoyt St,1,1
"('232', '233')",2,90.0,Borough Hall,Hoyt St,1,1
"('233', '234')",3,90.0,Hoyt St,Nevins St,1,1
"('233', '234')",2,90.0,Hoyt St,Nevins St,1,1
"('R22', 'R23')",W,100.23529411764706,Prince St,Canal St,1,5
"('R22', 'R23')",R,100.23529411764706,Prince St,Canal St,1,5
"('234', '423')",5,120.0,Nevins St,Borough Hall,2,3
"('234', '423')",4,120.0,Nevins St,Borough Hall,2,3
"('235', '236')",3,90.0,Atlantic Av-Barclays Ctr,Bergen St,5,1
"('235', '236')",2,90.0,Atlantic Av-Barclays Ctr,Bergen St,5,1
"('R21', 'R22')",W,139.76470588235293,8 St-NYU,Prince St,1,1
"('R21', 'R22')",R,139.76470588235293,8 St-NYU,Prince St,1,1
"('236', '237')",3,120.0,Bergen St,Grand Army Plaza,2,1
"('236', '237')",2,120.0,Bergen St,Grand Army Plaza,2,1
"('237', '238')",3,90.0,Grand Army Plaza,Eastern Pkwy-Brooklyn Museum,1,1
"('237', '238')",2,90.0,Grand Army Plaza,Eastern Pkwy-Brooklyn Museum,1,1
"('228', '229')",3,139.30693069306932,Park Place,Fulton St,1,3
"('228', '229')",2,139.30693069306932,Park Place,Fulton St,1,3
"('238', '239')",3,120.0,Eastern Pkwy-Brooklyn Museum,Franklin Av-Medgar Evers College,1,2
"('238', '239')",2,120.0,Eastern Pkwy-Brooklyn Museum,Franklin Av-Medgar Evers College,1,2
"('239', '250')",3,238.73239436619718,Franklin Av-Medgar Evers College,Crown Hts-Utica Av,2,1
"('239', '250')",4,238.73239436619718,Franklin Av-Medgar Evers College,Crown Hts-Utica Av,2,1
"('241', '242')",5,95.48387096774194,President St-Medgar Evers College,Sterling St,1,1
"('241', '242')",2,95.48387096774194,President St-Medgar Evers College,Sterling St,1,1
"('242', '243')",5,106.30434782608695,Sterling St,Winthrop St,1,1
"('242', '243')",2,106.30434782608695,Sterling St,Winthrop St,1,1
"('243', '244')",5,98.06451612903226,Winthrop St,Church Av,1,4
"('243', '244')",2,98.06451612903226,Winthrop St,Church Av,1,4
"('244', '245')",5,90.0,Church Av,Beverly Rd,2,1
"('244', '245')",2,90.0,Church Av,Beverly Rd,2,1
"('245', '246')",5,84.1304347826087,Beverly Rd,Newkirk Av-Little Haiti,1,1
"('245', '246')",2,84.1304347826087,Beverly Rd,Newkirk Av-Little Haiti,1,1
"('246', '247')",5,120.0,Newkirk Av-Little Haiti,Flatbush Av-Brooklyn College,1,1
"('246', '247')",2,120.0,Newkirk Av-Little Haiti,Flatbush Av-Brooklyn College,1,1
"('416', '621')",5,180.0,138 St-Grand Concourse,125 St,1,5
"('416', '621')",4,180.0,138 St-Grand Concourse,125 St,1,5
"('418', '419')",5,72.3529411764706,Fulton St,Wall St,5,2
"('418', '419')",4,72.3529411764706,Fulton St,Wall St,5,2
"('418', '640')",5,120.0,Fulton St,Brooklyn Bridge-City Hall,5,3
"('418', '640')",4,120.0,Fulton St,Brooklyn Bridge-City Hall,5,3
"('419', '420')",5,90.0,Wall St,Bowling Green,2,1
"('419', '420')",4,90.0,Wall St,Bowling Green,2,1
"('239', '241')",5,181.61290322580646,Franklin Av-Medgar Evers College,President St-Medgar Evers College,2,1
"('239', '241')",2,181.61290322580646,Franklin Av-Medgar Evers College,President St-Medgar Evers College,2,1
"('226', '227')",3,60.0,116 St,110 St-Malcolm X Plaza,3,2
"('226', '227')",2,60.0,116 St,110 St-Malcolm X Plaza,3,2
"('225', '226')",3,90.0,125 St,116 St,6,3
"('225', '226')",2,90.0,125 St,116 St,6,3
"('224', '225')",3,120.0,135 St,125 St,2,5
"('224', '225')",2,120.0,135 St,125 St,2,5
"('120', '227')",3,270.0,96 St,110 St-Malcolm X Plaza,4,2
"('120', '227')",2,270.0,96 St,110 St-Malcolm X Plaza,4,2
"('R26', 'R27')",W,120.0,Rector St,Whitehall St-South Ferry,1,1
"('R26', 'R27')",R,120.0,Rector St,Whitehall St-South Ferry,1,1
"('R25', 'R26')",W,63.529411764705884,Cortlandt St,Rector St,1,1
"('R25', 'R26')",R,63.529411764705884,Cortlandt St,Rector St,1,1
"('R24', 'R25')",W,120.0,City Hall,Cortlandt St,1,1
"('R24', 'R25')",R,120.0,City Hall,Cortlandt St,1,1
"('R23', 'R24')",W,150.0,Canal St,City Hall,5,1
"('R23', 'R24')",R,150.0,Canal St,City Hall,5,1
"('137', '228')",3,76.47058823529412,Chambers St,Park Place,3,1
"('137', '228')",2,76.47058823529412,Chambers St,Park Place,3,1
"('204', '205')",5,90.0,Nereid Av,233 St,1,1
"('204', '205')",2,90.0,Nereid Av,233 St,1,1
"('205', '206')",5,90.0,233 St,225 St,1,1
"('205', '206')",2,90.0,233 St,225 St,1,1
"('206', '207')",5,82.5,225 St,219 St,1,1
"('206', '207')",2,82.5,225 St,219 St,1,1
"('207', '208')",5,95.625,219 St,Gun Hill Rd,1,1
"('207', '208')",2,95.625,219 St,Gun Hill Rd,1,1
"('208', '209')",5,115.3125,Gun Hill Rd,Burke Av,1,1
"('208', '209')",2,115.3125,Gun Hill Rd,Burke Av,1,1
"('209', '210')",5,90.0,Burke Av,Allerton Av,1,1
"('209', '210')",2,90.0,Burke Av,Allerton Av,1,1
"('210', '211')",5,122.76923076923077,Allerton Av,Pelham Pkwy,1,1
"('210', '211')",2,122.76923076923077,Allerton Av,Pelham Pkwy,1,1
"('211', '212')",5,144.46153846153845,Pelham Pkwy,Bronx Park East,1,1
"('211', '212')",2,144.46153846153845,Pelham Pkwy,Bronx Park East,1,1
"('212', '213')",5,120.92307692307692,Bronx Park East,E 180 St,1,1
"('212', '213')",2,120.92307692307692,Bronx Park East,E 180 St,1,1
"('213', '214')",5,110.70422535211267,E 180 St,West Farms Sq-E Tremont Av,2,1
"('213', '214')",2,110.70422535211267,E 180 St,West Farms Sq-E Tremont Av,2,1
"('213', '221')",5,702.6315789473684,E 180 St,3 Av-149 St,2,2
"('213', '221')",2,702.6315789473684,E 180 St,3 Av-149 St,2,2
"('214', '215')",5,120.0,West Farms Sq-E Tremont Av,174 St,1,1
"('214', '215')",2,120.0,West Farms Sq-E Tremont Av,174 St,1,1
"('215', '216')",5,150.0,174 St,Freeman St,1,1
