Month,Division,Line,Day Type,Number Late,Scheduled Trips,Percent Late
2025-06-01,Subdivision B,L,2,58,4320,0.013425926
2025-06-01,Subdivision B,M,1,260,6132,0.042400522
2025-06-01,Subdivision B,M,2,26,2244,0.011586453
2025-06-01,Subdivision B,NW,1,0,9905,0
2025-06-01,Subdivision B,NW,2,0,1943,0
2025-06-01,Subdivision B,Q,1,441,6615,0.066666667
2025-06-01,Subdivision B,Q,2,164,2278,0.071992976
2025-06-01,Subdivision B,R,1,286,6346,0.045067759
2025-06-01,Subdivision B,R,2,41,1942,0.021112255
2025-06-01,Subdivision B,S 42nd,1,0,11088,0
2025-06-01,Subdivision B,S 42nd,2,0,3314,0
2025-06-01,Subdivision B,S Fkln,1,0,4998,0
2025-06-01,Subdivision B,S Fkln,2,0,2142,0
2025-06-01,Subdivision B,S Rock,1,0,3528,0
2025-06-01,Subdivision B,S Rock,2,0,1398,0
2025-06-01,Subdivision B,SI,1,0,3540,0
2025-06-01,Subdivision B,SI,2,0,802,0
2025-07-01,Subdivision A,1,1,427,10348,0.041264012
2025-07-01,Subdivision A,1,2,59,3424,0.017231308
2025-07-01,Subdivision A,2,1,282,7187,0.039237512
2025-07-01,Subdivision A,2,2,108,3412,0.031652989
2025-07-01,Subdivision A,3,1,206,6379,0.032293463
2025-07-01,Subdivision A,3,2,104,2085,0.049880096
2025-07-01,Subdivision A,4,1,184,8145,0.022590546
2025-07-01,Subdivision A,4,2,149,2430,0.061316872
2025-07-01,Subdivision A,5,1,218,6732,0.03238265
2025-07-01,Subdivision A,5,2,70,2248,0.03113879
2025-07-01,Subdivision A,6,1,324,12310,0.026320065
2025-07-01,Subdivision A,6,2,139,2900,0.047931034
2025-07-01,Subdivision A,7,1,407,14124,0.028816199
2025-07-01,Subdivision A,7,2,137,3526,0.038854226
2025-07-01,Subdivision B,A,1,254,8250,0.030787879
2025-07-01,Subdivision B,A,2,67,2550,0.02627451
2025-07-01,Subdivision B,B,1,218,4840,0.045041322
2025-07-01,Subdivision B,C,1,240,4884,0.049140049
2025-07-01,Subdivision B,C,2,58,1440,0.040277778
2025-07-01,Subdivision B,D,1,250,6512,0.038390663
2025-07-01,Subdivision B,D,2,65,1944,0.033436214
2025-07-01,Subdivision B,E,1,470,8712,0.053948577
2025-07-01,Subdivision B,E,2,31,1898,0.016332982
2025-07-01,Subdivision B,F,1,361,8378,0.043089043
2025-07-01,Subdivision B,F,2,54,1920,0.028125
2025-07-01,Subdivision B,G,1,315,6736,0.046763658
2025-07-01,Subdivision B,G,2,102,2318,0.044003451
2025-07-01,Subdivision B,JZ,1,0,6533,0
2025-07-01,Subdivision B,JZ,2,0,2226,0
2025-07-01,Subdivision B,L,1,537,12341,0.043513492
2025-07-01,Subdivision B,L,2,153,4717,0.03243587
2025-07-01,Subdivision B,M,1,347,6414,0.054100405
2025-07-01,Subdivision B,M,2,31,1790,0.017318436
2025-07-01,Subdivision B,NW,1,0,10444,0
2025-07-01,Subdivision B,NW,2,0,1944,0
2025-07-01,Subdivision B,Q,1,565,6930,0.081529582
2025-07-01,Subdivision B,Q,2,210,2456,0.085504886
2025-07-01,Subdivision B,R,1,449,6627,0.067753131
2025-07-01,Subdivision B,R,2,41,1923,0.021320853
2025-07-01,Subdivision B,S 42nd,1,0,11386,0
2025-07-01,Subdivision B,S 42nd,2,0,3096,0
2025-07-01,Subdivision B,S Fkln,1,0,5236,0
2025-07-01,Subdivision B,S Fkln,2,0,2142,0
2025-07-01,Subdivision B,S Rock,1,0,3696,0
2025-07-01,Subdivision B,S Rock,2,0,1422,0
2025-07-01,Subdivision B,SI,1,0,3744,0
2025-07-01,Subdivision B,SI,2,0,864,0
